num_id,prop_id,latitude,longitude,keyword,name,link,num_rating,rating,price,category,address
1,ChIJ26XdQ-AHXZQRF9jTEZkN0S0,-25.3146958,-57.670338,Supermercado,Despensa El Aborigen,https://www.google.com/maps/place/Despensa+El+Aborigen/data=!4m7!3m6!1s0x945d07e043dda5db:0x2dd10d9911d3d817!8m2!3d-25.3146958!4d-57.670338!16s%2Fg%2F11s6202ndv!19sChIJ26XdQ-AHXZQRF9jTEZkN0S0?authuser=0&hl=es-419&rclk=1,0,,,Tienda de alimentación,M8PH+4VF
2,ChIJwRXE8E8HXZQRTGsHXX3he8E,-25.3154697,-57.6699066,Restaurante,Aso de pescadores,https://www.google.com/maps/place/Aso+de+pescadores/data=!4m7!3m6!1s0x945d074ff0c415c1:0xc17be17d5d076b4c!8m2!3d-25.3154697!4d-57.6699066!16s%2Fg%2F11j8k2ts4d!19sChIJwRXE8E8HXZQRTGsHXX3he8E?authuser=0&hl=es-419&rclk=1,2,4.5,,Restaurante,"M8MJ+R28, Urcisino Velazco"
3,ChIJB5tN8JQHXZQRNqLGnj3bApI,-25.3161203,-57.6695484,Store,Despensa Mirian,https://www.google.com/maps/place/Despensa+Mirian/data=!4m7!3m6!1s0x945d0794f04d9b07:0x9202db3d9ec6a236!8m2!3d-25.3161203!4d-57.6695484!16s%2Fg%2F11qps1q78l!19sChIJB5tN8JQHXZQRNqLGnj3bApI?authuser=0&hl=es-419&rclk=1,1,5.0,,Comercio,M8MJ+H54 Mar del Plata
4,ChIJx-4fZwAHXZQReLdplgSnwlU,-25.3157646,-57.6694629,Restaurante,Comedor y Despensa Raquel,https://www.google.com/maps/place/Comedor+y+Despensa+Raquel/data=!4m7!3m6!1s0x945d0700671feec7:0x55c2a7049669b778!8m2!3d-25.3157646!4d-57.6694629!16s%2Fg%2F11yft_rnk4!19sChIJx-4fZwAHXZQReLdplgSnwlU?authuser=0&hl=es-419&rclk=1,1,4.0,,Restaurante,"M8MJ+M6V, Sajonia"
5,ChIJY_Vuap8HXZQRfUAl2JNuKRw,-25.3137594,-57.6692883,Mercado,Despensa tita,https://www.google.com/maps/place/Despensa+tita/data=!4m7!3m6!1s0x945d079f6a6ef563:0x1c296e93d825407d!8m2!3d-25.3137594!4d-57.6692883!16s%2Fg%2F11scdllvbf!19sChIJY_Vuap8HXZQRfUAl2JNuKRw?authuser=0&hl=es-419&rclk=1,1,5.0,,Mercado,"8 de diciembre, Urcisino Velazco"
6,ChIJJ7msEf4HXZQR6_QX-cjxHKM,-25.3146866,-57.6690874,Store,CATI NOVEDADES,https://www.google.com/maps/place/CATI+NOVEDADES/data=!4m7!3m6!1s0x945d07fe11acb927:0xa31cf1c8f917f4eb!8m2!3d-25.3146866!4d-57.6690874!16s%2Fg%2F11sndbn48f!19sChIJJ7msEf4HXZQR6_QX-cjxHKM?authuser=0&hl=es-419&rclk=1,2,5.0,,Tienda general,"M8PJ+49F, Urcisino Velazco"
7,ChIJ0aMart0HXZQRoT8OZc62Ar4,-25.3148499,-57.6689338,Supermercado,Bodega y Despensa Estela Mari,https://www.google.com/maps/place/Bodega+y+Despensa+Estela+Mari/data=!4m7!3m6!1s0x945d07ddae1aa3d1:0xbe02b6ce650e3fa1!8m2!3d-25.3148499!4d-57.6689338!16s%2Fg%2F11hbknhnr9!19sChIJ0aMart0HXZQRoT8OZc62Ar4?authuser=0&hl=es-419&rclk=1,5,4.6,,Tienda de alimentación,Urcisino Velazco
8,ChIJ1ytBHtoHXZQR6vDRugP-sL8,-25.3162465,-57.6689164,Supermercado,Despensa Marlene,https://www.google.com/maps/place/Despensa+Marlene/data=!4m7!3m6!1s0x945d07da1e412bd7:0xbfb0fe03bad1f0ea!8m2!3d-25.3162465!4d-57.6689164!16s%2Fg%2F11k7rqxfj9!19sChIJ1ytBHtoHXZQR6vDRugP-sL8?authuser=0&hl=es-419&rclk=1,8,5.0,,Supermercado,M8MJ+GC4 Mar del Plata
9,ChIJNeuPCQMJXZQRULzxWMaF51Q,-25.3062792,-57.6685356,Supermercado,Despensa San Miguel,https://www.google.com/maps/place/Despensa+San+Miguel/data=!4m7!3m6!1s0x945d0903098feb35:0x54e785c658f1bc50!8m2!3d-25.3062792!4d-57.6685356!16s%2Fg%2F11pqb6cv7v!19sChIJNeuPCQMJXZQRULzxWMaF51Q?authuser=0&hl=es-419&rclk=1,0,,,Tienda de alimentación,M8VJ+FHP
10,ChIJA_3CzywJXZQRm4tIF5uqBTE,-25.3040161,-57.6681902,Store,Todo lo que necesites TFF MEDIA,https://www.google.com/maps/place/Todo+lo+que+necesites+TFF+MEDIA/data=!4m7!3m6!1s0x945d092ccfc2fd03:0x3105aa9b17488b9b!8m2!3d-25.3040161!4d-57.6681902!16s%2Fg%2F11x33x3bf5!19sChIJA_3CzywJXZQRm4tIF5uqBTE?authuser=0&hl=es-419&rclk=1,0,,,Tienda general,Urcisino Velazco
